               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031981,             0.10847,           0.0014873,             0.84431,             0.89409,             0.90681,             0.59174,            0.026915,            0.068362,           0.0009395,           0.0023342,           0.0023342,            0.013634
                  37,            0.031816,             0.11212,           0.0013565,             0.83869,             0.92747,             0.91687,             0.60109,            0.027035,            0.065376,          0.00086643,           0.0022042,           0.0022042,            0.011104
                  38,            0.031616,             0.10709,           0.0012761,             0.86336,             0.88899,               0.904,             0.60279,            0.025172,            0.067674,          0.00091077,           0.0020754,           0.0020754,           0.0085754
                  39,            0.030904,              0.1076,           0.0013057,             0.84435,              0.8856,              0.8967,             0.59163,            0.025436,            0.066831,          0.00075194,           0.0019494,           0.0019494,           0.0060494
                  40,            0.030596,             0.10822,            0.001233,             0.89029,             0.90052,             0.91824,             0.62031,            0.024197,            0.064041,           0.0007324,           0.0018278,           0.0018278,           0.0035278
                  41,            0.030259,             0.10651,            0.001225,             0.81241,             0.90513,             0.89946,             0.59875,            0.025779,            0.067824,          0.00089974,           0.0017005,           0.0017005,           0.0017005
                  42,            0.029343,             0.10133,           0.0011082,             0.84856,             0.91955,             0.91496,             0.60528,            0.026258,            0.065761,          0.00075551,           0.0017005,           0.0017005,           0.0017005
                  43,            0.030327,             0.10579,           0.0011606,              0.8331,             0.92014,             0.90694,             0.61778,            0.024548,            0.067559,          0.00073468,           0.0015566,           0.0015566,           0.0015566
                  44,            0.029003,             0.10155,            0.001088,             0.83273,             0.92195,              0.9109,             0.61716,            0.024515,            0.066435,          0.00072557,           0.0014283,           0.0014283,           0.0014283
                  45,            0.029126,             0.10177,           0.0011454,             0.86519,             0.89178,              0.9144,             0.61084,            0.024283,            0.065787,          0.00060379,            0.001316,            0.001316,            0.001316
                  46,            0.028653,             0.10281,           0.0010318,             0.82917,             0.90787,             0.90631,             0.61759,            0.024373,            0.067643,          0.00056153,           0.0012202,           0.0012202,           0.0012202
                  47,            0.028588,             0.10412,          0.00094522,             0.82707,             0.85996,             0.87827,             0.59215,            0.024706,            0.066869,          0.00076573,           0.0011414,           0.0011414,           0.0011414
                  48,            0.028865,             0.10452,           0.0009565,             0.87569,             0.89206,             0.91541,             0.62586,            0.024018,            0.064573,          0.00054801,           0.0010797,           0.0010797,           0.0010797
                  49,            0.028934,             0.10257,          0.00092724,             0.81833,             0.91761,             0.90436,             0.61317,            0.025042,            0.066203,          0.00058274,           0.0010355,           0.0010355,           0.0010355
